,date,forecast
0,2022-12-19,137.0342726554036
1,2022-12-20,137.50988818185738
2,2022-12-21,137.82007022831007
3,2022-12-22,137.7072635039489
4,2022-12-23,137.43082370401103
5,2022-12-24,137.55337448536048
6,2022-12-25,137.66724561589746
7,2022-12-26,137.76390525259745
8,2022-12-27,137.82583334186026
9,2022-12-28,137.8840839720667
10,2022-12-29,137.96461631623475
11,2022-12-30,138.04456206401835
12,2022-12-31,138.12291268092216
13,2023-01-01,138.19882313154957
14,2023-01-02,138.27486283534813
15,2023-01-03,138.35216417375014
16,2023-01-04,138.42943022266672
17,2023-01-05,138.5065608344561
18,2023-01-06,138.58353342363435
19,2023-01-07,138.66053336079344
20,2023-01-08,138.7376056973481
21,2023-01-09,138.8146757125695
22,2023-01-10,138.8917349722952
23,2023-01-11,138.96878452527412
24,2023-01-12,139.0458368134173
25,2023-01-13,139.12289330672635
26,2023-01-14,139.19994961997085
27,2023-01-15,139.27700512215
28,2023-01-16,139.35406005148218
29,2023-01-17,139.43111520647628
30,2023-01-18,139.50817060811517
31,2023-01-19,139.58522599418106
32,2023-01-20,139.66228132152474
33,2023-01-21,139.73933661622235
34,2023-01-22,139.8163919279662
35,2023-01-23,139.89344725427244
36,2023-01-24,139.97050257919898
37,2023-01-25,140.04755790001053
38,2023-01-26,140.12461321902566
39,2023-01-27,140.2016685392663
40,2023-01-28,140.27872386036927
41,2023-01-29,140.3557791813527
42,2023-01-30,140.43283450205536
43,2023-01-31,140.50988982266307
44,2023-02-01,140.58694514335622
45,2023-02-02,140.66400046410035
46,2023-02-03,140.74105578483451
47,2023-02-04,140.81811110554997
48,2023-02-05,140.89516642626063
49,2023-02-06,140.97222174697714
50,2023-02-07,141.04927706769666
51,2023-02-08,141.12633238841536
52,2023-02-09,141.20338770913284
53,2023-02-10,141.28044302985012
54,2023-02-11,141.35749835056777
55,2023-02-12,141.43455367128558
56,2023-02-13,141.51160899200335
57,2023-02-14,141.58866431272102
58,2023-02-15,141.6657196334387
59,2023-02-16,141.7427749541564
60,2023-02-17,141.8198302748741
