Date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count,pos,neg,neutral
2018-01-02,42.540000915527344,43.07500076293945,42.31499862670898,43.06499862670898,40.95048904418945,102223600,-0.09375,-3,32,1,4,27
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.94336700439453,118071600,-0.0588235294117647,-3,51,3,6,42
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.1335334777832,89738400,-0.1764705882352941,-6,34,1,7,26
2018-01-05,43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.60186004638672,94640000,-0.0689655172413793,-2,29,4,6,19
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.44734573364258,82271200,-0.0869565217391304,-4,46,2,6,38
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.44257354736328,86336000,-0.119047619047619,-5,42,2,7,33
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.433067321777344,95839600,-0.0833333333333333,-3,36,1,4,31
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.66842269897461,74670800,-0.2142857142857142,-6,28,1,7,20
2018-01-12,44.04499816894531,44.34000015258789,43.91249847412109,44.272499084472656,42.09869766235352,101672400,-0.1071428571428571,-3,28,2,5,21
2018-01-16,44.47499847412109,44.84749984741211,44.03499984741211,44.04750061035156,41.8847541809082,118263600,-0.1891891891891892,-7,37,1,8,28
2018-01-17,44.03749847412109,44.8125,43.76750183105469,44.775001525878906,42.57653427124024,137547200,-0.0181818181818181,-1,55,7,7,41
2018-01-18,44.84249877929688,45.025001525878906,44.5625,44.81499862670898,42.61456680297852,124773600,-0.05,-3,60,8,11,41
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.42438888549805,129700400,-0.0217391304347826,-1,46,2,3,41
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,42.07732391357422,108434400,-0.2558139534883721,-11,43,1,12,30
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,42.086822509765625,130756400,-0.0576923076923076,-3,52,2,5,45
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.41643524169922,204420400,-0.2131147540983606,-13,61,1,14,46
2018-01-25,43.62749862670898,43.73749923706055,42.63249969482422,42.77750015258789,40.6771125793457,166116000,-0.0508474576271186,-3,59,7,10,42
2018-01-26,43.0,43.0,42.51499938964844,42.87749862670898,40.7722053527832,156572000,0.0,0,42,3,3,36
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.92827987670898,202561600,-0.0576923076923076,-3,52,6,7,39
2018-01-30,41.38249969482422,41.84249877929688,41.17499923706055,41.74250030517578,39.69292831420898,184192800,-0.1470588235294117,-10,68,8,17,43
2018-01-31,41.71749877929688,42.11000061035156,41.625,41.85749816894531,39.80228805541992,129915600,-0.0588235294117647,-3,51,4,7,40
2018-02-01,41.79249954223633,42.15499877929688,41.68999862670898,41.94499969482422,39.88549041748047,188923200,-0.1271186440677966,-15,118,7,22,89
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,38.15485000610352,346375200,-0.0833333333333333,-6,72,10,16,46
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.20158004760742,290954000,0.0166666666666666,1,60,8,6,46
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.75630187988281,272975200,-0.0259740259740259,-2,77,7,9,61
2018-02-07,40.772499084472656,40.84999847412109,39.76750183105469,39.8849983215332,37.92662811279297,206434400,-0.1111111111111111,-7,63,4,12,47
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.78749847412109,36.88301849365234,217562000,-0.0975609756097561,-4,41,3,7,31
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.33415603637695,282690400,-0.0285714285714285,-1,35,4,5,26
2018-02-12,39.625,40.97249984741211,39.37749862670898,40.6775016784668,38.837928771972656,243278000,0.0416666666666666,2,48,4,2,42
2018-02-13,40.48749923706055,41.1875,40.41249847412109,41.084999084472656,39.22700119018555,130196800,-0.0769230769230769,-4,52,5,9,38
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.84249877929688,39.95024490356445,162579600,-0.0208333333333333,-1,48,5,6,37
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.29170989990234,204588800,-0.108695652173913,-5,46,3,8,35
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,41.15803527832031,160704400,-0.1052631578947368,-4,38,3,7,28
2018-02-20,43.01250076293945,43.56499862670898,42.85499954223633,42.962501525878906,41.01959228515625,135722000,-0.1875,-9,48,0,9,39
2018-02-21,43.20750045776367,43.52999877929688,42.75249862670898,42.76750183105469,40.833404541015625,149886400,-0.0256410256410256,-1,39,3,4,32
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,41.17473602294922,123967600,-0.119047619047619,-5,42,1,6,35
2018-02-23,43.41749954223633,43.91249847412109,43.3849983215332,43.875,41.89082717895508,135249600,-0.0769230769230769,-2,26,2,4,20
2018-02-26,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,42.71909332275391,152648800,0.0256410256410256,1,39,2,1,36
2018-02-27,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,42.580657958984375,155712400,0.0327868852459016,2,61,9,7,45
2018-02-28,44.81499862670898,45.15499877929688,44.51250076293945,44.52999877929688,42.51620101928711,151128400,0.0,0,38,4,4,30
2018-03-01,44.6349983215332,44.94499969482422,43.165000915527344,43.75,41.771480560302734,195208000,-0.1818181818181818,-6,33,0,6,27
2018-03-02,43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,42.06029891967773,153816000,-0.054054054054054,-2,37,2,4,31
2018-03-05,43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,42.205902099609375,113605600,0.0256410256410256,1,39,4,3,32
2018-03-06,44.477500915527344,44.5625,44.032501220703125,44.16749954223633,42.17008972167969,95154000,0.0277777777777777,1,36,4,3,29
2018-03-07,43.73500061035156,43.962501525878906,43.567501068115234,43.75749969482422,41.77864074707031,126814000,-0.1025641025641025,-4,39,1,5,33
2018-03-08,43.869998931884766,44.27999877929688,43.76750183105469,44.23500061035156,42.23454666137695,95096400,-0.0384615384615384,-1,26,0,1,25
